team,number,position,player_name,player_text,team_url,player_url
日本製鉄堺ブレイザーズ,8,MB,秋間 直人,#8 MB 秋間 直人,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/4695
日本製鉄堺ブレイザーズ,9,MB,蔡 沛彰,#9 MB 蔡 沛彰,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5191
日本製鉄堺ブレイザーズ,10,MB,渡邉 晃瑠,#10 MB 渡邉 晃瑠,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/4792
日本製鉄堺ブレイザーズ,11,S,大宅 真樹,#11 S 大宅 真樹,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/1454
日本製鉄堺ブレイザーズ,14,OP,ウルリック・ダール,#14 OP ウルリック・ダール,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5585
日本製鉄堺ブレイザーズ,15,S,江藤 巧,#15 S 江藤 巧,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/4607
日本製鉄堺ブレイザーズ,17,OP,上村 琉乃介,#17 OP 上村 琉乃介,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5016
日本製鉄堺ブレイザーズ,20,S,中西 健裕,#20 S 中西 健裕,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5473
日本製鉄堺ブレイザーズ,21,MB,竹元 裕太郎,#21 MB 竹元 裕太郎,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/1410
日本製鉄堺ブレイザーズ,22,OH,柿崎 晃,#22 OH 柿崎 晃,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5438
日本製鉄堺ブレイザーズ,23,L,南口 辰揮,#23 L 南口 辰揮,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5674
日本製鉄堺ブレイザーズ,90,OH,トンマーゾ・リナルディ,#90 OH トンマーゾ・リナルディ,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5586
広島サンダーズ,1,OH,柳北 悠李,#1 OH 柳北 悠李,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5366
広島サンダーズ,2,MB,樋口 裕希,#2 MB 樋口 裕希,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/3542
広島サンダーズ,3,L,西村 信,#3 L 西村 信,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4179
広島サンダーズ,4,MB,三輪 大将,#4 MB 三輪 大将,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4387
広島サンダーズ,5,OH,井上 慎一朗,#5 OH 井上 慎一朗,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/1392
広島サンダーズ,6,OH,クーパー・ロビンソン,#6 OH クーパー・ロビンソン,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5599
広島サンダーズ,7,OH,新井 雄大,#7 OH 新井 雄大,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4177
広島サンダーズ,8,OH,武智 洸史,#8 OH 武智 洸史,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/1460
広島サンダーズ,9,MB,髙梨 海輝,#9 MB 髙梨 海輝,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5367
広島サンダーズ,10,L,髙木 啓士郎,#10 L 髙木 啓士郎,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5043
広島サンダーズ,11,OH,坂下 純也,#11 OH 坂下 純也,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4178
広島サンダーズ,15,MB,西本 圭吾,#15 MB 西本 圭吾,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4139
広島サンダーズ,16,MB,西 知恕,#16 MB 西 知恕,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/3924
広島サンダーズ,17,S,金子 聖輝,#17 S 金子 聖輝,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/1337
広島サンダーズ,18,OH,山本 将平,#18 OH 山本 将平,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/1129
広島サンダーズ,19,OP,フェリペ・モレイラ・ロケ,#19 OP フェリペ・モレイラ・ロケ,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5219
広島サンダーズ,20,S,阿部 大樹,#20 S 阿部 大樹,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/4417
広島サンダーズ,21,S,永露 元稀,#21 S 永露 元稀,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/3578
広島サンダーズ,22,OH,山元 快太,#22 OH 山元 快太,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5685
広島サンダーズ,23,OP,ダニエル・マルティネス・カンポス,#23 OP ダニエル・マルティネス・カンポス,https://www.svleague.jp/ja/sv_men/team/detail/255,https://www.svleague.jp/ja/sv_men/player/detail/5600
